FactID,Year,StateCode,DistrictCode,LevelOfEducation,TotalEnrollment,FemaleEnrollment,GrossEnrollmentRatio,DropoutRate,TeacherCount,TeacherTrainedCount,AvgTrainingHours,SchoolsTotal,SchoolsWithInternet,SmartClassroomsCount,DigitalReadySchools,StudentsWithDevices,StudentsWithDisabilities,GirlToBoyRatio,VocationalEnrollment,SkillCertifiedLearners,SkillPlacementRate,BudgetAllocated,BudgetUtilized,PolicyImplementationScore,AccessIndex,QualityIndex,InfrastructureIndex,EquityIndex,GovernanceIndex,OverallNEPIndex,Source,LastUpdated,MathScore,ReadingScore,ScienceScore,AverageScore,PassPercentage,StudentPerformanceIndex,StudentsScoring75Plus,SchoolsWithLibrary,SchoolsWithLab,SchoolsWith5334Structure,SchoolsWithRegionalCurriculum,TeachersGraduate,TeachersPostGraduate,TeachersWithBEd,Date,PolicyId
F_S01_Pre-Primary_2020,2020,S30,D0034,Pre-Primary,443339,172350,71.30157896,7.906998974,33610,1793,95.28968837,4879,3598,807,1095,249696,1346,1.035504669,8519,37860,48.51927875,5241284,5172280.323,76.99877645,90.18631299,70.76264173,70.0820261,51.55468084,86.50626529,76.81754406,Education Survey Data,01-11-2025,71.97,67.56,56,65.18,71.7,63.7,220,214,246,124,170,4409,2425,3617,22-06-2023,P001
F_S01_Pre-Primary_2021,2021,S14,D0003,Pre-Primary,640130,492344,62.06608648,7.652715851,36916,14239,88.97066619,2120,2630,3628,4853,359053,4724,1.106249006,7350,79824,85.77759049,2934071,7641514.089,82.84969351,93.40924058,92.3328324,74.75884794,51.68391316,52.01700304,89.89049777,Education Survey Data,01-11-2025,66.89,67.56,68.22,67.56,74.32,74.41,277,109,86,70,108,1657,899,1222,04-11-2022,P019
F_S01_Pre-Primary_2022,2022,S27,D0030,Pre-Primary,277184,47940,91.96412932,3.26174857,49640,4381,74.4503651,4117,4716,3883,3480,203506,5995,0.958131321,9904,66584,79.15411181,6712734,650738.9014,74.06697261,74.18843254,57.81727173,92.85377854,52.09256169,94.36955377,83.033218,Education Survey Data,01-11-2025,73.18,67.75,70.48,70.47,77.52,63.42,216,173,199,164,145,3539,2011,3257,25-05-2022,P016
F_S01_Pre-Primary_2023,2023,S07,D0050,Pre-Primary,708895,76180,85.88985308,7.829295101,32851,26094,66.85560933,9932,4813,3491,58,101696,3322,1.190009865,11281,78906,62.66801601,3166783,1984864.058,58.52628,97.1726303,82.18483822,55.69481896,51.3589606,97.37755671,84.50603649,Education Survey Data,01-11-2025,80.18,84.54,76.26,80.33,88.36,80.47,173,94,97,82,74,1774,742,1538,12-06-2025,P014
F_S01_Pre-Primary_2024,2024,S30,D0034,Pre-Primary,891662,114855,82.8838698,2.75130647,1074,19748,96.36427563,3003,1930,4714,6682,410035,7854,1.124782578,15478,89745,55.64835328,9619853,1034715.783,64.23619564,50.74634663,73.41738733,89.62983893,91.50795298,96.4373349,74.26854893,Education Survey Data,01-11-2025,66.13,72.67,80.22,73.01,80.31,70.19,80,275,251,245,307,4803,2462,3424,16-11-2023,P007
F_S01_Pre-Primary_2025,2025,S01,D0032,Pre-Primary,85280,494367,74.21505737,6.252473292,9595,18744,74.23924053,8982,6682,5663,1755,474947,4022,1.173834591,5025,89762,94.08099986,7819265,2072906.674,64.68400738,52.77184621,91.885307,81.58631416,94.58222273,88.06311398,66.54985127,Education Survey Data,01-11-2025,66.13,73.01,56.86,65.33,71.86,66.11,232,349,334,191,282,5414,3268,3834,26-06-2023,P010
F_S01_Primary_2020,2020,S22,D0029,Primary,570348,562403,76.26263982,9.090105065,39158,4420,96.70038964,798,4196,5512,6792,6891,3200,0.94074698,12978,10968,83.82916796,9584615,8898759.786,72.24708246,68.9167,91.20175482,90.17899773,61.4353592,71.76570908,62.02141773,Education Survey Data,01-11-2025,80.63,77.21,58.7,72.18,79.4,71.29,266,205,155,109,122,3514,1620,2686,22-12-2024,P004
F_S01_Primary_2021,2021,S32,D0009,Primary,430740,114664,71.78884582,7.469294746,4450,28127,44.50633971,4045,8800,5869,1928,442747,3298,1.182864256,3751,75632,70.34384172,1426785,986486.7111,89.12524473,79.56020671,66.94228849,88.78828666,94.16964542,69.49322214,80.8173733,Education Survey Data,01-11-2025,74.14,71.67,54.68,66.83,73.51,62.95,359,65,44,56,45,1105,523,771,16-07-2021,P010
F_S01_Primary_2022,2022,S20,D0002,Primary,124023,198619,69.91704055,6.560660186,39567,5342,38.05851896,2846,7711,5709,762,197098,4379,1.065360978,15994,69087,58.88794113,8704984,6877545.318,79.71662008,87.94496992,68.49203366,76.67551856,63.20580085,75.06460999,62.78552433,Education Survey Data,01-11-2025,64.24,68.19,63.89,65.44,71.98,64.58,176,351,369,183,328,6286,2326,3822,05-06-2022,P019
F_S01_Primary_2023,2023,S14,D0039,Primary,750173,485390,68.66302682,9.553281892,36768,2681,70.8994568,1965,3145,4586,594,122291,6964,1.03990142,9223,52120,54.92431838,6946665,836515.0673,95.48434225,54.05974306,52.85394249,66.90449009,96.63713561,84.36710843,69.26306657,Education Survey Data,01-11-2025,72.34,68.63,70.2,70.39,77.43,62.78,199,127,124,73,88,2011,1066,1860,28-09-2021,P007
F_S01_Primary_2024,2024,S21,D0007,Primary,889665,438712,71.0793136,2.774778676,30093,25733,65.68540758,5006,4593,826,2415,128778,9437,1.151311377,18243,2491,88.54453675,7284728,3859188.464,62.6475006,76.9957402,68.46288859,82.21798797,97.44405378,97.15814201,98.78238699,Education Survey Data,01-11-2025,64.29,69.5,74.89,69.56,76.52,69.41,138,441,359,220,359,6883,3110,5414,17-10-2021,P015
F_S01_Primary_2025,2025,S15,D0046,Primary,873927,430269,70.91156688,3.594388247,21596,33097,39.60002113,4300,4346,5125,5530,377269,1865,1.150103949,11513,33978,75.74579499,2775843,6133216.979,54.4933711,51.76582766,69.34967624,51.93435197,71.97152491,51.16463046,87.94544485,Education Survey Data,01-11-2025,64.27,69.74,65.32,66.44,73.08,65.69,93,323,267,197,289,5436,3347,3551,07-06-2024,P010
F_S01_Secondary_2020,2020,S13,D0005,Secondary,128332,466870,68.32476637,9.739701257,14157,25220,82.49216394,6340,8815,6022,3507,335445,8319,0.838669353,12456,42549,78.37788148,4185535,4669639.154,59.43407653,55.65484364,63.27744319,71.17004707,78.72587976,95.38922698,58.51833784,Education Survey Data,01-11-2025,69.94,75.09,63.12,69.38,76.32,69.36,312,205,192,133,175,3663,1796,3679,11-10-2025,P017
F_S01_Secondary_2021,2021,S28,D0008,Secondary,751684,575026,88.91763922,1.537098628,33413,29771,59.9029866,5230,5908,4417,1109,27917,1363,0.826456842,9381,49254,91.63989752,3377946,3687396.484,58.2380235,88.39380976,96.38921151,79.04182934,70.70388664,94.97873968,86.28257083,Education Survey Data,01-11-2025,52.69,70.36,67.37,63.47,69.82,65.3,139,446,440,295,383,7007,4232,6873,16-05-2024,P013
F_S01_Secondary_2022,2022,S01,D0032,Secondary,620937,140259,72.37740736,6.139288009,5233,30502,38.25259616,3840,7985,5983,3443,221894,2771,1.006968399,16887,81959,93.60924636,5851920,1730883.427,82.50945976,97.11241328,67.55411971,68.01869304,51.04436821,58.84434691,99.29298762,Education Survey Data,01-11-2025,54.2,75.13,58.48,62.6,68.86,62.44,236,396,314,289,419,7248,3846,6425,27-06-2020,P007
